Y,CustomerID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
0,12379,326,1089,812,237,1610,565,576,764,451,333,993,1313,36,204,513,82,301,245,8,11,82,5,33,23,103,19,25,144,18,30,37,1888,2217,89,80,133,102,147,175,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12381,11,11,189,2,437,7,855,59,323,158,97,1402,738,34,766,918,119,11,7,34,2,305,173,8,11,829,631,496,330,4,1121,1361,189,918,7,127,37,1474,130,312,562,446,320,56,49,192,517,1207,97,1902,890,928,280,158,316,779,855,104,319,1230,361,966,879,686,222,754,323,59,1026,1923,483,668,39,151,1790,1022,1396,2265,2,801,1801,1016,21,27,199,437,11,1923,199,192,130,,,,,,,,,
0,12383,322,395,641,1485,1319,1065,353,1202,938,1656,1553,484,359,370,355,1958,254,138,8,109,173,122,739,330,1060,274,61,959,68,265,949,179,864,36,421,2106,11,1656,2109,938,1553,330,254,102,146,147,89,11,304,153,871,1336,668,177,104,424,237,447,56,301,49,86,847,904,472,434,469,313,304,435,1746,260,1750,2490,2363,891,1228,80,133,451,273,472,230,11,182,525,780,1294,638,451,273,1361,1472,260,11,260,1750,1796,1297,11
0,12384,284,34,315,64,759,249,96,336,206,11,726,738,567,320,326,809,1915,835,133,50,1550,2,267,1240,236,80,11,267,236,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12386,679,888,827,1602,940,1587,175,148,2010,3069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12388,191,392,310,1158,303,318,688,868,740,4,456,380,20,14,1189,1471,117,61,7,892,848,65,16,1298,943,623,688,79,14,303,4,422,7,1189,740,868,1158,1471,4,7,79,132,129,65,892,943,848,1199,1800,1587,1471,2674,2784,3141,1313,192,50,1167,1731,1424,324,280,1158,22,4,318,303,392,191,79,623,16,403,375,158,236,1016,335,1857,2311,2392,2492,294,1668,688,4,303,7,50,3141,191,132,79,1199,1587,1800,793,16,65,61
0,12390,527,80,133,49,8,265,179,36,631,829,477,356,1051,893,1218,102,175,938,1202,1656,268,433,613,330,895,435,998,322,1264,797,1287,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12391,688,402,569,2162,1474,560,637,1218,2539,159,408,1474,1038,1085,1134,224,1287,159,325,2785,1007,1680,895,527,1007,2086,1474,784,2086,1187,560,22,4,5,25,416,473,555,228,1831,298,968,696,1115,425,171,1930,2097,1559,2266,1918,2034,1879,2282,2537,2455,1583,1187,77,1,1833,784,695,628,1485,1319,1286,515,946,867,1416,932,579,752,405,792,1091,263,607,1253,400,516,768,870,618,199,540,2079,1504,812,447,237,424,1780,1496,2320,1346,1537,657,42
0,12393,1814,245,1358,9,33,814,1396,503,961,1381,1490,18,19,110,387,1306,951,1561,986,1164,2070,2178,27,1164,33,5,9,23,25,98,435,451,416,19,81,41,214,344,500,81,245,110,109,914,33,1814,283,244,18,5,25,203,305,1318,500,1402,59,1103,667,961,171,1713,998,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12394,50,236,335,158,1541,11,49,102,56,148,434,447,812,237,1296,847,472,356,1051,477,313,301,147,631,854,175,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12398,1485,1541,2620,2299,854,396,251,342,331,242,279,337,617,846,769,333,762,37,8,238,173,122,113,305,235,1970,1660,158,335,95,117,2039,343,21,192,2266,2034,1879,1918,85,88,149,18,1203,1232,1861,1356,719,676,553,1779,757,364,1964,1647,1838,953,636,1379,1017,1575,2184,865,528,370,674,586,330,130,131,41,133,326,317,1560,653,408,80,59,938,102,1202,638,273,11,,,,,,,,,,,,,,,
0,12399,8,122,305,173,179,36,265,110,131,484,167,1970,235,188,586,834,5,960,1553,11,8,109,173,238,122,305,60,33,98,9,110,131,19,1302,5,167,197,185,22,203,1045,11,330,34,1107,1516,11,1016,158,236,430,938,5,1560,1258,40,231,215,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12401,336,2,152,1875,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12402,57,246,64,55,1150,56,80,740,1013,533,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12403,273,502,638,321,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12405,349,875,41,214,1639,1262,1853,646,1306,495,326,317,1896,509,11,1129,402,318,218,303,1694,1586,1171,1396,2265,374,155,201,192,122,173,305,52,238,60,113,348,86,7,80,1978,1812,884,553,719,102,89,147,877,614,1888,2217,206,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12407,408,695,401,2161,7,50,173,238,458,155,1864,1531,11,455,388,428,925,238,820,201,1483,122,305,173,1981,1970,1660,11,52,8,238,408,541,2214,577,695,388,455,829,11,925,1650,366,11,541,577,152,41,214,695,50,820,925,1070,1441,631,1565,2146,635,964,168,233,589,1868,1828,714,1370,319,2957,1541,1963,546,408,376,308,122,11,,,,,,,,,,,,,,,,,,,,,,,
0,12410,304,805,153,348,805,872,735,978,304,86,2,188,381,740,1189,317,326,2436,1236,1061,369,481,379,11,262,360,227,2280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12412,407,875,1465,770,850,3472,860,627,184,186,1004,1147,376,780,1825,20,732,475,49,56,301,356,477,1072,353,170,919,11,1258,1560,376,725,1825,860,770,850,737,1016,280,49,56,1603,477,356,11,67,200,1529,1232,1394,1325,1094,1560,186,1004,280,897,1072,170,254,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12413,631,252,1499,400,446,1275,41,214,80,179,265,36,167,631,416,276,441,506,326,3,1672,75,32,1916,11,11,662,48,3,32,75,10,80,175,41,11,1041,167,3,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12414,656,147,102,148,370,355,11,218,1008,1831,52,11,4,303,318,215,1274,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12418,1553,829,631,688,22,4,318,209,126,249,1351,574,888,182,797,540,613,960,586,938,1202,834,1045,707,382,387,130,339,170,41,788,549,266,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12420,1160,41,1702,793,317,326,1938,457,7,498,50,1573,1497,1140,691,1053,922,2,937,823,62,714,1254,2298,1280,1503,1831,1979,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12421,1407,3210,77,2430,151,1160,1050,639,2082,1153,11,403,1806,733,1465,1166,577,362,534,11,659,78,308,823,1541,1166,259,639,1011,2138,244,489,11,1160,156,78,308,1166,1541,60,1070,639,2082,1050,283,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12422,18,112,610,167,244,291,2440,57,44,81,75,9,25,189,416,555,228,473,194,380,20,14,2179,2773,13,114,1449,1853,2060,1569,11,30,103,128,87,37,136,53,1465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12424,1427,926,1000,903,744,435,310,581,449,702,1055,587,758,106,130,402,22,4,688,557,68,794,1652,97,100,41,214,39,1438,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12425,85,32,144,64,5,244,23,18,283,7,50,732,196,72,234,235,1074,1550,47,20,796,41,39,1514,760,975,1507,660,835,607,408,546,8,148,175,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12426,1089,692,392,102,89,175,1581,916,726,2142,710,14,239,321,198,80,133,660,49,301,891,1124,574,1226,664,1683,1338,450,2829,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12427,826,631,788,157,40,1396,788,631,576,826,400,519,11,673,155,667,931,1123,1850,571,358,159,325,891,1124,361,22,11,34,631,400,1579,931,11,1579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12429,307,1066,914,916,1259,481,261,28,69,223,35,143,679,238,808,334,1061,14,80,11,1193,1216,1003,979,2731,2681,1261,611,686,1908,1173,2159,1923,738,843,247,35,28,143,34,59,131,239,261,76,1847,69,1021,550,1288,824,341,372,546,14,6,805,2,27,1427,948,938,1202,965,2293,52,8,11,713,133,4,754,1923,458,329,1161,628,28,69,223,143,247,333,30,11,415,1105,729,349,197,1313,875,50,319,90,35,538,,,
0,12430,552,997,323,97,290,567,938,1212,738,836,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12434,435,783,401,1089,1720,550,1021,317,326,318,303,2252,2545,936,528,2249,2570,126,1041,1720,271,513,358,873,731,831,259,525,775,265,1946,2708,1753,158,335,375,236,294,730,1990,1710,352,81,216,802,793,2249,1831,22,317,326,126,721,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12435,893,1432,1218,1093,1341,15,112,131,110,90,14,86,805,153,1767,1692,480,1114,479,301,209,1032,1368,360,69,143,86,348,153,90,110,56,48,112,105,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12436,668,7,402,22,303,4,318,319,269,120,173,122,534,457,192,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12438,998,1103,69,90,1734,1776,1368,623,1380,821,837,80,829,631,788,48,1276,89,175,189,850,2,860,1396,2265,59,131,39,254,327,458,895,613,667,514,201,614,588,739,358,2217,571,1146,385,334,374,155,584,11,89,102,147,924,699,647,866,349,41,214,2079,877,411,347,1567,2362,752,90,293,189,80,49,56,301,788,829,860,850,770,737,477,1051,356,731,831,1776,78,1685,1606,326,1306,653,131,203,327,353,713,2,11,,
0,12441,1521,2648,2386,65,16,1530,948,1541,218,377,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12442,381,2515,68,1644,553,364,491,179,265,1379,322,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12445,1335,843,963,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12446,313,904,358,128,48,240,167,203,245,137,39,931,41,667,303,3109,90,480,2055,485,1762,1199,4,21,730,126,31,888,1463,429,17,496,163,1225,1890,84,28,86,153,2,14,22,177,472,25,5,149,88,50,237,424,216,500,290,1220,3,201,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12447,57,3,317,326,401,102,89,147,175,389,373,598,313,472,1296,812,237,1610,565,764,80,133,835,301,82,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12448,148,290,3041,912,1079,2463,8,296,975,196,428,679,56,1507,741,278,146,458,1181,874,155,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12450,1502,784,695,652,1026,197,197,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12452,11,11,89,1156,16,437,569,159,175,155,90,654,546,738,129,666,477,356,1281,102,658,34,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12453,148,175,1265,1151,1850,1586,90,622,196,56,49,1247,232,427,751,791,2377,2386,322,875,1313,207,419,1424,1342,149,1270,623,20,1787,40,436,321,41,39,50,1016,3009,1022,1306,951,626,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12454,38,139,785,2,195,26,2533,2270,2224,2246,2563,2694,50,1724,1457,38,785,139,26,1457,1724,50,2563,2694,2533,2246,2224,2270,2,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12455,1061,1439,295,392,123,132,1327,2216,1790,490,687,287,921,188,1240,1875,413,1441,172,883,381,1,398,937,1915,2341,1694,1946,1799,1710,1644,1883,1122,1074,1090,532,622,669,164,952,1365,11,11,23,15,273,451,502,638,197,103,5,136,3,185,237,434,447,313,36,265,179,68,424,469,11,904,847,472,11,424,11,1319,1884,173,1970,1154,1562,395,52,436,1934,322,1634,122,8,109,1318,319,1316,,,,,,,,,,
0,12457,793,165,165,102,89,147,175,658,567,4,137,2132,788,305,2139,49,360,339,1236,155,361,374,893,1218,11,788,11,37,37,37,788,2132,189,1140,613,19,56,103,301,506,793,90,877,1218,1050,448,1555,1458,2088,39,998,1103,667,358,102,89,147,175,1094,835,770,737,860,850,2085,50,11,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12458,924,33,18,98,56,2047,2701,1171,1694,2230,80,660,1409,1407,1265,1209,694,268,11,546,59,1020,495,703,1668,437,1018,587,758,702,201,18,80,25,39,41,1870,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12461,6,624,940,1364,1831,2516,214,102,1208,473,127,932,1031,290,334,2070,1164,2298,2297,1254,300,35,247,143,888,1079,1063,611,135,296,96,209,1204,345,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12462,2183,2434,594,1248,1276,2,243,529,457,169,1053,922,937,1279,2001,1370,2049,878,820,431,1668,11,1279,457,937,878,2001,2049,1201,1122,1279,937,704,2445,2169,2664,431,445,1201,31,1,727,2510,2588,390,363,723,126,678,485,1179,1053,922,2,937,823,169,78,1279,1122,2001,1370,464,1009,1469,1491,385,2448,455,401,317,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12463,189,2,1829,799,1107,943,855,80,56,49,773,616,320,1755,2004,2269,1173,1560,47,281,611,11,937,2269,1306,692,1565,1145,130,764,565,1938,454,80,49,56,672,546,191,78,33,1245,59,11,11,605,1847,34,1560,267,80,49,56,489,40,2,281,1715,1571,59,239,454,11,489,454,80,825,352,233,1266,1062,50,875,860,770,850,3472,185,47,33,663,1821,1275,696,1560,1725,964,11,,,,,,,,,,,,
0,12464,11,307,501,86,153,307,501,11,11,90,501,501,307,90,153,86,11,11,90,307,501,153,86,90,11,11,86,307,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12465,224,742,728,943,817,622,848,941,425,363,39,660,1265,835,325,159,738,124,80,470,11,835,1265,817,660,8,122,319,100,97,177,323,204,202,374,32,573,993,765,175,89,451,147,320,1089,1634,298,1326,1009,171,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12468,740,663,1275,1916,361,305,89,147,2072,525,842,11,914,144,420,533,1530,20,274,231,40,443,2053,330,851,22,361,477,356,1051,80,482,133,204,966,985,645,11,80,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12475,653,102,57,63,89,147,530,645,32,326,710,854,253,110,203,1247,2074,966,1093,1087,1103,914,175,182,667,359,1958,355,524,41,495,189,1670,290,527,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12478,11,96,437,569,104,5,9,18,71,189,186,2906,460,182,393,528,588,425,276,658,253,245,39,41,482,326,80,34,356,214,19,667,998,320,477,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12479,8,235,36,265,421,949,278,1535,109,1913,709,120,27,835,256,192,401,7,1548,864,179,1550,264,40,231,703,572,411,359,1101,11,7,411,572,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12483,1584,2250,1696,2046,473,228,59,1615,503,90,32,2293,11,11,738,2183,623,174,162,404,1051,273,477,59,105,187,339,1066,11,34,34,133,738,90,59,11,11,738,187,30,33,80,5,133,204,1066,27,477,1051,273,11,1066,90,11,1066,1066,34,59,503,22,1720,854,1606,1685,330,1066,11,374,503,614,80,204,22,63,32,415,1855,154,105,133,11,,,,,,,,,,,,,,,,,,,
0,12488,1446,738,59,189,186,286,34,39,34,11,961,2176,2172,252,317,326,798,177,458,374,201,167,411,347,1101,962,1108,881,752,579,530,378,541,41,961,1381,39,694,252,433,268,741,912,1396,317,326,59,1093,966,893,189,25,378,1552,1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12489,11,147,177,41,90,68,1114,1306,1164,326,1407,152,39,2640,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12491,359,1396,63,1103,80,458,56,281,320,860,850,998,737,155,32,374,39,961,1499,770,667,524,1850,1586,11,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12492,359,63,32,1523,1301,393,182,977,49,80,11,1306,1121,580,2172,1247,189,71,286,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12493,5,25,197,610,23,18,420,190,30,1238,450,1184,1238,34,37,99,15,19,23,30,74,184,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12494,98,98,202,152,202,11,152,430,1047,1755,1869,922,234,305,8,238,113,269,60,1325,738,11,233,168,611,34,922,2004,1047,1317,553,1232,11,11,922,5,814,152,1490,1358,2190,1563,1725,51,75,281,32,15,167,610,11,1563,34,5,23,19,33,502,273,152,320,1396,83,288,76,531,321,362,1117,217,510,198,11,1431,1105,1384,1313,349,729,860,850,320,11,1431,,,,,,,,,,,,,,,,
